label,support,auroc,ap,status
Cosine taper,105.49107360839844,0.9791666666666666,0.9891666666666667,Gate failed
Spatial guard,153.1483154296875,0.9833333333333333,0.9916666666666666,Gate failed
Guard + moment reset,153.08946228027344,0.9833333333333333,0.9916666666666666,Gate failed
