label,support,auroc,ap
Continue LCE,43.426591873168945,0.9708333333333333,0.9848684210526315
LCE off / state kept,420.60101318359375,0.9916666666666667,0.9954545454545455
LCE off / reset,500.59751892089844,0.9916666666666667,0.9954545454545455
Shared block-12 parent,374.55699157714844,0.9916666666666667,0.9954545454545455
